question,answer,intent,state,crop
chillies chilli sucking pest and leaf spot management ;-,recommended to spray acephate 300 grams + carbendazim + mancozeb 500 grams / 200 litres of water / acre,plant protection,telangana,chillies
cumin cultural practices in cumin,"cumin (cuminum cyminum, apiaceae) cumin, commonly known as jeera, (cuminum cyminum) belongs to apiaceae family, widely cultivated in gujarat, rajasthan and in some parts of madhya pradesh and uttar pradesh as rabi crop. cumin is mainly used in flavouring foods. it is also used in ayurvedic medicines. climate and soil cumin is a tropical plant. it grows well in sub-tropical climate too. high humidity during flowering & fruit set, causes fungal diseases in this crop. cumin can be cultivated in all types of soils but well drained sandy loam and medium soils are suitable for the crop. varieties improved varieties like s-404, mc-43, gujarat cumin-1(gc-1), gc-2, gc-3, rs-1, uc-198, rz-19, etc., evolved by agricultural universities of gujarat and rajasthan having higher yield potential are useful for cultivation. the maturity days are 110 to 115 days depending on variety. botany it is an herbaceous annual plant, with a slender branched stem 20–30 cm tall. the leaves are 5–10 cm long, pinnate or bipinnate, thread-like leaflets. the flowers are small, white or pink, and borne in umbels. the fruit is a lateral fusiform or ovoid achene 4–5 mm long, containing a single seed. cumin seeds are similar to fennel and anise seeds in appearance, but are smaller and darker in color. flower seed sowing and seed rate sowing is done from 1st week of november to 1st week of december by broadcasting or in rows drilled at 30 cm. seed rate vary from 12 to 15 kg / ha, depending upon method of sowing & type of soil. sowing of seeds should be done at a depth of 1 – 2 cm after treatment with ceresan or thiram or difoltan @ 3.0 g per kg. soaking of seeds for 8 hours before sowing is helpful in getting good germination. soaked seeds should be dried in shade to facilitate broadcasting. sowing at higher depths, affect the germination of seeds adversely. crop rotation should be followed to avoid incidence of pest and diseases. land preparation soil is brought to fine tilth by 2-3 ploughings with harrow or deshi plough. stubbles of previous crops should be collected and removed from the field. clods should be broken and field should be leveled with the help of plank. beds of 4 m x 3 m size with provision of irrigation channels should be prepared before sowing of seeds to facilitate proper irrigation and intercultural operations. manures & fertilizers 15 – 20 mt fym, 30 kg nitrogen & 15 kg phosphorus per ha is recommended for cumin crop. whole quantity of fym should be mixed into the soil at the time of land preparation and 15 kg nitrogen & whole quantity of phosphorus should be applied as basal dose. another, 15 kg nitrogen should be applied as topdressing one month after germination of seeds. weeding the crop should be kept free from weeds for proper growth and development of plants. generally 2-3 hand weeding are required to keep the weeds under check. in drilled crop light intercultural operation is beneficial. 1st weeding and hoeing should be done after 30-40 days from the date of sowing. irrigation based on type of soil, crop requires 4-6 irrigation. 1st light irrigation should be given immediately after sowing and second irrigation should be given after 6-10 days from 1st irrigation. subsequent irrigations should be given after 30, 45, 65 and 80 days from 1st irrigation. irrigation at the time of flowering and fruit set are essential. at maturity stage irrigation should be stopped. plant protection aphid aphid is a major pest of cumin crop, it sucks the sap of tender parts and reduces the yield. spraying of 0.03% solution of dimethoate or 0.025% solution of methyl demeton or 0.04% solution of monocrotophos is recommended to control the aphid. leaf eating caterpillar this pest causes damage to the foliage of plants reducing yield of the crop. it can be controlled by spraying of 0.02% solution of phosphomidon in the early stage of crop. b) diseases fusarium wilt infected plants show peculiar symptoms of dropping of tips and leaves, leading to mortality of the entire plant. attack of wilt is severe in younger plants. there is no chemical control for this disease. crop rotation and use of neem cake are helpful in checking spread of the fungus vis-à-vis disease. seeds collected from disease free plots should only be used for sowing. alternaria blight the blight affected plants show very minute brownish necrotic spots, which later turn to blackish. mostly diseased plants fail to produce seeds. if seeds are produced they remain shriveled, light in weight and dark in colour. for the control of this disease seed treatment and spraying of 0.2% solution of dithane-m-45 4 times at 10 days interval commencing from 40 days after sowing is recommended. add 1 ml soap solution / liter water for better efficiency of fungicide. the crop should be kept free from weeds. crops requiring more irrigation and mustard crop should not be grown in vicinity of this crop. powdery mildew affected plants in early stages show minute whitish spots on leaves, petiole, stem pedicel and seeds. in severe condition, it looks as the plants have been dusted with white powder. at later stages of attack seeds become white and shriveled and light in weight. crop should be dusted with 300 mesh sulphur dust @ 25 kg/ha to control this disease as soon as the symptoms are noticed. spraying of wettable sulphur or dinocap (karathane or thiowet) can also be used to control the disease @ 20-25 g per 10 liter of water at the initial stage of this disease. if needed second spray should be given 15-20 day after first spray. harvesting generally cumin crop takes about 110-115 days to reach maturity. crop becomes ready to harvest, when plants turn yellowish brown. harvesting should be done early in the morning by cutting/uprooting the whole plants. harvested crop should be dried in the threshing yard thrashed to separate the seeds. seeds should be cleaned by winnowing. yield: 600 to 700 kg/h *********",cultural practices,karnataka,cumin
rubber fertilizer requirement in 10 month old rubber,"apply 100g urea, 250g rajphos and 30g potash per plant or apply 1 kg 10:10:4 npk fertilizer per plant. also apply 20g magnesium sulphate after two weeks of npk application.",nutrient management,kerala,rubber
others telangana sim3 working status test cal by shaheda supervisor,telangana sim3 working status test cal by shaheda supervisor,training and exposure visits,telangana,others
rose plant protection in rose crop,--suggested to spray mancozeb 75 wp- 2 gram per litre of water. and after 4 days spray multiplex tonic 3 mle per liter of water,plant protection,karnataka,rose
mango flower and fruit drop management in mango,recommended to spray naphthalene acetic acid (planofix) 2.5 ml / 10 litres of water per plant,nutrient management,telangana,mango
watermelon spacing and nutrient management of watermelon,"the land should be prepared well by thorough ploughing or digging. pits of 60 cm diameter and 30-45 cm depth are taken at 3 m x 2 m spacing.the first dose has to be applied at the time of planting. the urea, rock phosphate, muriate of potash needed at this time is 300gram, 550gram, 170 gram respectively for a cent. the second dose has to apply in veining stage and the dosage is 150 gram urea for a cent.the third dose has to be applied at full blooming stage. the fertilizer dose is 150 gram urea for a cent.lime or dolomite @ 1-3 kg per cent has to be applied in acid soils two weeks ahead of fertilizer application. organic manure @ 90 kg/cent is recommended at planting time.",cultural practices,kerala,watermelon
"others contact number of regional poultry farm, mundayad","regional poultry farm, mundayad- 0497 272 1168",training and exposure visits,kerala,others
"paddy (dhan) stem borer in paddy managem,ent",recommended to spray cartap hydrochloride (caldan) 400gm/200 litres of water / acre,plant protection,telangana,paddy (dhan)
paddy (dhan) nano urea liquid fertilizer dose ?,method of application mix 2 to 4 ml of nano urea in one liter of water and spray on crop leaves at active growth stages. for best results apply 2 foliar sprays 1st spray at active tillering/branching stage (30-35 days after germination or 20-25 days after transplanting) 2nd spray 20-25 days after the 1st spray or before flowering in the crop.,nutrient management,andhra pradesh,paddy (dhan)
pigeon pea (red gram/arhar/tur) plant protection in redgram,recommended to drench chlorpyriphos @ 3 ml/ltr of water,plant protection,karnataka,pigeon pea (red gram/arhar/tur)
others usage of formalin and bavistin usage in mushroom,suggested that mix 125ml of formal- dehyde (37-40 percent) and 7 g of bavistin dissolved in 10 litres of water in another container and pour the solution slowly into the drum. straw should be pressed and drum should be covered with a polythene sheet. take out the straw after 12 hrs.,cultural practices,kerala,others
avacado pruning time for avocado,responded that pruning is rarely done in avocado. light trimming can be done just before flowering or just after one fruit set. heavy pruning increases vegetative growth and reduces yield,cultural practices,kerala,avacado
sponge gourd management of yellowing of leaves,it is suggested to spray urea 2g per one litre of water & apply micro nutrient mixture 5gram per plant,plant protection,kerala,sponge gourd
paddy (dhan) paddy nursery zinc deficiency management ;-,recommended to spray zinc sulphate 2 gram /1 liter of water. (or) recommended to spray zinc edta 0.5 gram /1 liter of water.,nutrient management,telangana,paddy (dhan)
cocoa management of rot in cocoa,suggested to soil drench with hexaconazole 1ml per liters of water,plant protection,kerala,cocoa
paddy (dhan) neem oil 1500 ppm dosage ?,recommended neem oil ... 1500 ppm – 4ml to 5ml / litre of water,plant protection,telangana,paddy (dhan)
paddy (dhan) paddy nutrient mangement ;-,recommended to spray npk 19-19-19 mixture 5 grams/1 litre of water,nutrient management,telangana,paddy (dhan)
"others custodia ,cabrio top dosage",recommended to spray azoxystrobin+tebuconazole (custodia) 240 ml/200 litres of water / acre recommended to spray metiram+pyraclostrobin (cabrio top) 600 grams /200 litres of water /acre,plant protection,andhra pradesh,others
pigeon pea (red gram/arhar/tur) weed management in redgram sown after 28 days crop,recommended to do hand weeding only,weed management,telangana,pigeon pea (red gram/arhar/tur)
paddy (dhan) can irrigation be given to the after 24 hours of weedicide application in paddy,recommended to wait for 2-3 days for irrigating the paddy field.,water management,andhra pradesh,paddy (dhan)
